loss,mae,val_loss,val_mae
3.680558919906616,1.3899210691452026,2.7941741943359375,1.2660547494888306
1.2889820337295532,0.831333339214325,2.408714771270752,1.1725437641143799
1.0083295106887817,0.7163853645324707,2.099933385848999,1.0557245016098022
0.8933364748954773,0.6704880595207214,1.9906589984893799,1.053362250328064
0.8043588995933533,0.6519432663917542,1.6501355171203613,0.9601527452468872
0.7033002972602844,0.6031343340873718,1.9059287309646606,0.939123272895813
0.5383771657943726,0.5425761938095093,0.8935514092445374,0.7006925344467163
0.38437986373901367,0.4639042615890503,0.6646612286567688,0.5945734977722168
0.2785892188549042,0.405606210231781,0.5520745515823364,0.5104539394378662
0.15423499047756195,0.29734620451927185,0.9033868312835693,0.5336974263191223
